	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
Twf1	2.53337863578773E-12	-0.429357264766223	0.301	0.331	4.33030410215197E-08
Dusp11	9.99383895231403E-14	-0.429449120987252	0.236	0.293	1.70824689211904E-09
Dbndd2	2.26303652402437E-21	-0.429671955247216	0.156	0.256	3.86820833051486E-17
2510002D24Rik	1.36990059904687E-14	-0.42980348744843	0.233	0.294	2.34157109395081E-10
Rbbp4	5.55908753130662E-15	-0.429876461541554	0.267	0.32	9.50214831726241E-11
Idnk	1.70857388836878E-12	-0.430105504027474	0.301	0.339	2.92046534738875E-08
Klhdc2	1.55505525862242E-15	-0.430297489746579	0.177	0.252	2.65805595356331E-11
Eif3b	5.66322522981283E-13	-0.430341160107376	0.387	0.396	9.68015088531907E-09
Sco2	1.04267930287682E-18	-0.430717753713934	0.181	0.267	1.78225173240735E-14
Cul1	6.21713208314954E-17	-0.43087062460088	0.207	0.282	1.06269438697275E-12
Fip1l1	6.3439949647736E-18	-0.430904063644418	0.199	0.281	1.08437905932875E-13
Nagk	1.74995096427226E-24	-0.431460863862806	0.158	0.271	2.99119118323058E-20
Nsd1	3.91988712120013E-14	-0.431662892785741	0.228	0.29	6.70026305626739E-10
Wasf2	8.24308964074978E-20	-0.431716803634973	0.159	0.254	1.40899131229336E-15
Ptpn2	1.30908631860308E-18	-0.431748619484967	0.213	0.295	2.23762124438825E-14
Cks1b	1.0646227837523E-14	-0.432229646220047	0.221	0.284	1.81975972426781E-10
Hdac2	5.52374472218013E-15	-0.43261963208449	0.207	0.275	9.4417368536225E-11
Gsk3b	6.56047390839851E-12	-0.432740655014962	0.271	0.311	1.12138180516256E-07
Pex16	1.8193460922164E-20	-0.433011565199206	0.161	0.257	3.1098082754255E-16
Smarcd2	3.3763479672714E-15	-0.433519690346223	0.197	0.271	5.771191580457E-11
Snx5	6.2639855093257E-18	-0.433681579359542	0.243	0.314	1.07070304310904E-13
Igbp1	9.21219673503547E-21	-0.433703591411859	0.162	0.26	1.57464078791961E-16
Slc12a2	0.001514540920278	-0.433906838136092	0.592	0.478	1
Kdm1a	4.72977885261275E-11	-0.434167901895372	0.203	0.255	8.08461099277097E-07
Mcm7	2.33482818002727E-17	-0.434269181688745	0.195	0.277	3.99092180812062E-13
Hsd17b4	9.88154788565112E-20	-0.434300510256947	0.197	0.287	1.68905298009435E-15
Yipf4	3.20353423264465E-13	-0.434309048943038	0.291	0.326	5.4758010638595E-09
Akt1s1	1.35133441745977E-15	-0.434617544864988	0.267	0.324	2.30983591976398E-11
Napa	5.41987600305172E-09	-0.435079909029082	0.4	0.378	9.26419405201631E-05
