"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"Pycard"	7.57675646404432e-206	-0.626671864496372	0.896	0.908	1.2950949823991e-201	"0"	"Pycard"
"Gfpt1"	3.45552493943634e-205	-0.608835091849667	0.08	0.318	5.90652877897854e-201	"0"	"Gfpt1"
"Sdf2l1"	6.41514202616328e-205	-0.53516479965816	0.094	0.341	1.09654022653209e-200	"0"	"Sdf2l1"
"Mrpl51"	6.98006383912814e-204	-0.514799606806781	0.434	0.704	1.19310231202217e-199	"0"	"Mrpl51"
"Smc4"	7.8542025873405e-204	-0.567513407474853	0.117	0.366	1.34251884825411e-199	"0"	"Smc4"
"Smc2"	4.25676262556181e-202	-0.529966769398104	0.092	0.332	7.2760843558728e-198	"0"	"Smc2"
"Cd81"	5.11143787653007e-200	0.525293326280206	0.842	0.752	8.73698076235284e-196	"0"	"Cd81"
"1110008P14Rik"	2.69817751934195e-199	-0.461544815604012	0.061	0.289	4.6119948338112e-195	"0"	"1110008P14Rik"
"Cenpf"	1.40375309883188e-197	-0.620631041949919	0.053	0.273	2.39943517183334e-193	"0"	"Cenpf"
"Gm1123"	5.26498181504058e-197	-0.666448977880427	0.529	0.773	8.99943341644886e-193	"0"	"Gm1123"
"Cox5a"	6.955540455548e-196	-0.430369129701236	0.96	0.964	1.18891053006682e-191	"0"	"Cox5a"
"Guca2b"	1.76999871674243e-195	-1.11558466222099	0.062	0.277	3.02545880652784e-191	"0"	"Guca2b"
"Fabp1"	7.32048504941145e-195	-2.74275108479398	0.202	0.436	1.2512905094959e-190	"0"	"Fabp1"
"Agpat2"	4.45246027053124e-193	-0.55669665241602	0.112	0.354	7.61059034041905e-189	"0"	"Agpat2"
"Sct"	4.95819311238585e-193	-2.01552125525137	0.046	0.254	8.47503948700113e-189	"0"	"Sct"
"Snhg1"	5.69437140446662e-193	0.746172064180496	0.681	0.581	9.7333890416548e-189	"0"	"Snhg1"
"Cmc2"	8.27835590359949e-192	-0.445212518046571	0.104	0.349	1.41501937460226e-187	"0"	"Cmc2"
"Jpt1"	1.87020311932767e-191	-0.527830893708272	0.685	0.856	3.19673819186679e-187	"0"	"Jpt1"
"Myl6"	7.66655008262343e-191	-0.40902936580674	0.918	0.975	1.31044340562282e-186	"0"	"Myl6"
"Akr1c19"	1.95672943816817e-190	-0.699162545548503	0.067	0.284	3.34463762866085e-186	"0"	"Akr1c19"
"Guca2a"	3.55189823228668e-190	-2.63645264571274	0.159	0.381	6.07125964844762e-186	"0"	"Guca2a"
"Gmppb"	7.55554190255478e-190	-0.492978690718742	0.083	0.313	1.29146877740369e-185	"0"	"Gmppb"
"Ndufs5"	2.75318084806424e-189	-0.473670040860648	0.625	0.835	4.70601202359621e-185	"0"	"Ndufs5"
"S100a16"	3.5062295510158e-189	-0.468401717587598	0.096	0.333	5.9931981715513e-185	"0"	"S100a16"
"Mid1ip1"	4.36121683505918e-188	-0.522780593153657	0.085	0.315	7.45462793616665e-184	"0"	"Mid1ip1"
"Ces2e"	1.44468958643787e-186	-0.663397675722607	0.064	0.279	2.46940791009824e-182	"0"	"Ces2e"
"Tmsb10"	2.75710289532831e-185	-0.973158606272268	0.639	0.843	4.71271597898469e-181	"0"	"Tmsb10"
"Ms4a8a"	2.90402953476817e-185	-0.569852484393139	0.061	0.275	4.96385768377924e-181	"0"	"Ms4a8a"
"Edf1"	1.765607702566e-184	-0.428649800078846	0.719	0.89	3.01795324599607e-180	"0"	"Edf1"
"Txndc5"	2.33415821512351e-184	-0.99004275628229	0.141	0.368	3.98977663711061e-180	"0"	"Txndc5"
"Atp5k"	7.14769485615053e-184	-0.430927764482076	0.873	0.929	1.22175548176181e-179	"0"	"Atp5k"
"Rgmb"	9.14798620523586e-184	0.623915411677703	0.342	0.176	1.56366528206097e-179	"0"	"Rgmb"
"Spcs2"	2.17912159657591e-183	-0.520245764207222	0.56	0.8	3.7247725450272e-179	"0"	"Spcs2"
"Cenpw"	5.83484213346588e-183	-0.448942783897269	0.131	0.378	9.97349565873324e-179	"0"	"Cenpw"
"Tuba1b"	1.38382797319135e-182	-0.621445330060516	0.237	0.482	2.36537715457598e-178	"0"	"Tuba1b"
"Eif3h"	3.27747221166981e-182	0.430479638446585	0.907	0.884	5.60218325140721e-178	"0"	"Eif3h"
"Hist1h2ap"	6.8137098240156e-182	-0.6968267975478	0.131	0.359	1.16466742021899e-177	"0"	"Hist1h2ap"
"Lmna"	1.93564491104165e-181	-0.436168208933763	0.091	0.32	3.3085978464435e-177	"0"	"Lmna"
"Micos10"	1.77685473564261e-177	-0.454752153836951	0.736	0.884	3.03717779963391e-173	"0"	"Micos10"
"Tuba4a"	1.60403314579316e-175	-0.435601823205304	0.13	0.373	2.74177385610425e-171	"0"	"Tuba4a"
"Sec13"	1.39307122273147e-173	-0.414458324977073	0.245	0.521	2.3811766410149e-169	"0"	"Sec13"
"Clic1"	8.53848644555022e-173	-0.461208831733301	0.598	0.813	1.4594834881379e-168	"0"	"Clic1"
"Tspan13"	3.52353935958764e-172	-0.648487909871199	0.08	0.289	6.02278582734316e-168	"0"	"Tspan13"
"Prelid1"	9.47431556374018e-170	-0.448947688807452	0.526	0.762	1.61944475931011e-165	"0"	"Prelid1"
"Rpl23a"	9.49323785396835e-170	0.370839250550798	0.97	0.958	1.62267914637881e-165	"0"	"Rpl23a"
"Ckmt1"	3.4293251556772e-168	-0.685144454153645	0.443	0.683	5.86174548859903e-164	"0"	"Ckmt1"
"Cmpk1"	2.44009775409e-167	-0.559344287105042	0.46	0.71	4.17085909106604e-163	"0"	"Cmpk1"
"Chpt1"	1.12622268762652e-165	-0.482883066280312	0.263	0.528	1.92505243996001e-161	"0"	"Chpt1"
"Mien1"	2.06820007340913e-165	-0.518352771851228	0.313	0.583	3.53517438547822e-161	"0"	"Mien1"
"Glod5"	2.09847846634389e-165	-0.649187290633051	0.302	0.538	3.5869292425216e-161	"0"	"Glod5"
"Gnb2"	4.80408137642433e-162	-0.41189178255268	0.736	0.9	8.21161629672211e-158	"0"	"Gnb2"
"Cks1b"	5.63984471172249e-162	-0.39514936533961	0.101	0.316	9.64018656574726e-158	"0"	"Cks1b"
"Nans"	1.00505995531984e-161	-0.477313787592057	0.281	0.546	1.7179489816282e-157	"0"	"Nans"
"Surf4"	8.52090424824603e-161	-0.402625716260618	0.144	0.378	1.45647816315269e-156	"0"	"Surf4"
"Hist1h1b"	4.94696039795366e-160	-0.702479916157187	0.151	0.367	8.45583940822219e-156	"0"	"Hist1h1b"
"Gng12"	5.62283415537708e-160	-0.481117262209039	0.202	0.451	9.61111042178604e-156	"0"	"Gng12"
"Yif1a"	8.12911796492966e-159	-0.414876880532196	0.239	0.499	1.38951013374543e-154	"0"	"Yif1a"
"Smim14"	4.06815394377036e-158	-0.665709597417376	0.174	0.398	6.95369553608668e-154	"0"	"Smim14"
"Cps1"	1.67804892171733e-157	0.601233752324408	0.683	0.577	2.86828902189144e-153	"0"	"Cps1"
"Dad1"	8.87648780057499e-157	-0.434554710598691	0.792	0.923	1.51725805975228e-152	"0"	"Dad1"
"Tmem120a"	1.96511664559851e-156	-0.43517243302543	0.066	0.261	3.35897388232153e-152	"0"	"Tmem120a"
"Pitpna"	1.22359901602353e-155	-0.43154820378769	0.327	0.587	2.09149779808903e-151	"0"	"Pitpna"
"Cyp51"	1.52001934715501e-155	-0.38874934448059	0.073	0.272	2.59816907009206e-151	"0"	"Cyp51"
"H2-Eb1"	1.28205750862011e-154	0.842905992699002	0.438	0.278	2.19142089948436e-150	"0"	"H2-Eb1"
"Xbp1"	2.47857733482847e-154	-0.450710847379252	0.18	0.417	4.23663223842231e-150	"0"	"Xbp1"
"Arf1"	4.62257933835307e-154	-0.435904455936493	0.548	0.78	7.9013748630469e-150	"0"	"Arf1"
"Cyb5r3"	1.69389476582828e-153	-0.513694368263169	0.188	0.425	2.89537432323028e-149	"0"	"Cyb5r3"
"Tmem54"	2.13159673079269e-153	-0.400106024882983	0.273	0.533	3.64353829194394e-149	"0"	"Tmem54"
"Mgst2"	2.2555288942718e-151	-0.473068788992113	0.254	0.5	3.8553755389788e-147	"0"	"Mgst2"
"Erg28"	2.18525852224919e-150	-0.39209909920839	0.295	0.558	3.73526239208054e-146	"0"	"Erg28"
"Mydgf"	1.34127068639463e-149	-0.415581876500171	0.339	0.607	2.29263398425434e-145	"0"	"Mydgf"
"Selenok"	1.4458340728639e-149	-0.458769552159283	0.298	0.558	2.47136418074626e-145	"0"	"Selenok"
