"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"
"Pitpna"	1.78321520279139e-149	0.424955438600064	0.837	0.519	3.04804974613133e-145
"Ndufb8"	8.95956028417787e-149	0.379094807470489	0.994	0.898	1.53145763937452e-144
"Ndufs5"	1.66014108335131e-148	0.409811014025894	0.979	0.784	2.83767915377239e-144
"Mrpl57"	3.91621720522879e-148	0.429301814221845	0.939	0.715	6.69399006889757e-144
"Serpinb1a"	1.08292874274097e-147	0.393387992004279	0.947	0.695	1.85105009996713e-143
"Actg1"	2.26415687778714e-147	0.372285424782842	0.994	0.978	3.87012335120155e-143
"Ndufc2"	9.67518674457793e-147	0.399069565465845	0.988	0.845	1.65377967025071e-142
"Selenom"	3.35546718509412e-146	-2.3518748986751	0.124	0.375	5.73550005948139e-142
"Fgfbp1"	1.01370838914192e-145	0.449141521459036	0.661	0.352	1.73273174956029e-141
"Cisd3"	1.26381300265944e-145	0.389939395737459	0.771	0.434	2.16023556544578e-141
"Mrpl34"	3.96383361415949e-145	0.433893483594511	0.96	0.747	6.77538079668282e-141
"Prelid2"	2.76599049385918e-144	0.389548157911625	0.706	0.384	4.7279075511535e-140
"Nudcd2"	7.52600022908233e-144	0.390038038054739	0.732	0.411	1.28641921915704e-139
"Erg28"	1.17524490333894e-143	0.414650871848548	0.798	0.49	2.00884611327725e-139
"Cox6a1"	1.38863513073565e-143	0.389372492554833	0.994	0.88	2.37359402896645e-139
"Clint1"	1.43909463184367e-143	0.447714950038685	0.752	0.439	2.45984445421038e-139
"Fkbp4"	4.51422821155454e-143	0.407891437217235	0.97	0.763	7.71617028201018e-139
"Uqcrc2"	4.35314671825509e-142	0.415495329419012	0.968	0.771	7.44083368551342e-138
"Plp2"	6.47419936592682e-142	0.374453980728245	0.629	0.325	1.10663489761787e-137
"Prpsap1"	7.18084600143642e-142	0.375129736423235	0.719	0.395	1.22742200702553e-137
"Coa3"	7.97435047769875e-142	0.41819874944746	0.965	0.779	1.36305572715305e-137
"Anp32b"	2.91679945903763e-141	0.431666103530916	0.979	0.777	4.98568531533302e-137
"Mrps16"	1.94137015762002e-140	0.412303226702499	0.927	0.661	3.31838401041991e-136
"Immt"	7.9211896304566e-140	0.417112143101683	0.849	0.544	1.35396894353395e-135
"Ndufb7"	8.36062328707352e-140	0.378534833722831	0.99	0.859	1.42908133845948e-135
"Nfe2l2"	8.96493334356221e-140	0.404355712396183	0.724	0.408	1.53237605641509e-135
"Hnrnpf"	1.25129679624812e-139	0.399831070865326	0.982	0.823	2.13884161382691e-135
"Cisd1"	1.03900320487542e-138	0.421491056290742	0.887	0.603	1.77596817809356e-134
"Tomm22"	1.16254521778645e-138	0.406534103104728	0.949	0.723	1.98713854076239e-134
"Id3"	3.03547422603077e-138	0.433777394651068	0.786	0.472	5.18853609455439e-134
"Me2"	1.01947594029027e-137	0.382623135830967	0.816	0.499	1.74259022473816e-133
"Mrps7"	1.44697887775222e-136	0.409377973553172	0.809	0.509	2.47332099574187e-132
"Mrpl21"	1.52191082031801e-136	0.410616891978811	0.953	0.727	2.60140216516958e-132
